Filename,Invoice#,Vendor,Bank,Account,Email,Invoice_Date,Due_Date,Grand_Total,Category,Decision,Issues,Issue_Details,File_Type,Handwritten,Line_Items_Count,Line_Items_Total
invoice_001.jpg,001,Демо Компани-7,Демо Банк 2,5004455667,finance@demo7.mn,2026-04-10,2026-04-25,150000,Засвар үйлчилгээ,AUTO_POST,,,JPG,True,1,150000
invoice_002.jpg,002,Демо Компани-10,Демо Банк 1,1002033445,logistic@demo10.mn,2026-04-10,2026-04-25,2920000,"Тээвэр, логистик",DENY,BANK_ACCOUNT_MISMATCH,"Account mismatch: invoice='1002033445', DB='1002233445'",JPG,True,2,2920000
invoice_003.jpg,003,Демо Компани-9,Демо Банк 1,5003321110,info@demo9.mn,2026-04-10,2026-04-25,2920000,"Тээвэр, логистик",DENY,BANK_ACCOUNT_MISMATCH,"Account mismatch: invoice='5003321110', DB='5003322110'",JPG,True,2,2920000
invoice_004.jpg,004,Демо Компани-9,Демо Банк 1,5003322110,info@demo9.mn,2026-01-30,2026-04-25,200000,"Тээвэр, логистик",AUTO_POST,,,JPG,True,1,200000
invoice_005.jpg,005,Демо Компани-9,Демо Банк 1,5003322110,info@demo9.mn,2026-03-01,2026-01-15,150000,"Тээвэр, логистик",DENY,INVALID_DATE,Due date (2026-01-15) is before invoice date (2026-03-01),JPG,True,1,150000
invoice_006.jpg,006,Демо Компани-9,Демо Банк 1,5003322110,info@demo9.mn,2026-03-15,2026-06-01,150000,"Тээвэр, логистик",AUTO_POST,,,JPG,True,1,150000
invoice_007.jpg,007,Демо Компани-8,Демо Банк 1,4005544332,billing@demo8.mn,2026-03-01,2026-04-01,2510000,"Тээвэр, логистик",DENY,AMOUNT_MISMATCH,Sum of lines (2500000) ≠ grand total (2510000),JPG,True,1,2500000
invoice_008.jpg,008,Демо Компани-7,Демо Банк 2,5004455667,finance@demo7.mn,2026-04-10,2026-04-25,390000,Засвар үйлчилгээ,AUTO_POST,,,JPG,True,1,390000
invoice_009.jpg,009,Демо Компани-3,Демо Банк 1,4001122334,accounts@demo3.mn,2026-04-10,2026-04-25,280000,Мэдээллийн технологийн зардал,AUTO_POST,,,JPG,True,1,280000
invoice_010.jpg,010,Демо Компани-12,Демо Банк 2,8832233944,contact@demo12.mn,2026-04-10,2026-04-25,300000,Засвар үйлчилгээ,DENY,UNREGISTERED_VENDOR,Vendor 'Демо Компани-12' not found in master database,JPG,True,1,300000
invoice_011.jpg,011,Демо Компани-8,Демо Банк 1,4005544332,billing@demo8.mn,2026-04-10,2026-04-25,200000,"Тээвэр, логистик",AUTO_POST,,,JPG,True,1,200000
invoice_012.jpg,012,Демо Компани-3,Демо Банк 1,4001122334,accounts@demo3.mn,2026-04-15,2026-05-05,150000,Мэдээллийн технологийн зардал,AUTO_POST,,,JPG,True,1,150000
invoice_013.jpg,013,Демо Компани-8,Демо Банк 1,4025544332,billing@demo8.mn,2026-04-30,2026-06-02,550000,"Тээвэр, логистик",DENY,BANK_ACCOUNT_MISMATCH,"Account mismatch: invoice='4025544332', DB='4005544332'",JPG,True,1,550000
invoice_014.jpg,014,Демо Компани-5,Демо Банк 2,1009900880,info@demo5.mn,2026-04-10,2026-04-25,350000,Засвар үйлчилгээ,AUTO_POST,,,JPG,True,1,350000
invoice_015.jpg,015,Демо Компани-8,Демо Банк 1,4005544584,billing@demo8.mn,2026-04-10,2026-04-25,285000,"Тээвэр, логистик",DENY,BANK_ACCOUNT_MISMATCH,"Account mismatch: invoice='4005544584', DB='4005544332'",JPG,True,1,285000
invoice_016.pdf,16,Демо Компани-2,Демо Банк 1,1102003004,billing@demo2.mn,2026-04-10,2026-04-25,350000,Мэдээллийн технологийн зардал,AUTO_POST,,,PDF,False,1,350000
invoice_017.png,017,Демо Компани-9,Демо Банк 1,5003322110,info@demo9.mn,2026-04-10,2026-04-25,380000,"Тээвэр, логистик",AUTO_POST,,,PNG,False,1,380000
invoice_018.pdf,18,Демо Компани-5,Демо Банк 2,1009900880,info@demo5.mn,2026-04-10,2026-04-25,2500000,Засвар үйлчилгээ,AUTO_POST,,,PDF,False,1,2500000
invoice_019.pdf,19,Демо Компани-8,Демо Банк 1,4005544332,billing@demo8.mn,2026-04-10,2026-04-25,200000,"Тээвэр, логистик",AUTO_POST,,,PDF,False,1,200000
invoice_020.png,020,Демо Компани-8,Демо Банк 1,4005544332,billing@demo8.mn,2026-04-10,2026-04-25,550000,"Тээвэр, логистик",AUTO_POST,,,PNG,False,1,550000
invoice_021.pdf,21,Демо Компани-10,Демо Банк 1,1002233445,logistics@demo10.mn,2026-04-10,2026-04-25,85000,"Тээвэр, логистик",AUTO_POST,,,PDF,False,1,85000
invoice_022.pdf,22,Демо Компани-1,Демо Банк 1,5001122334,finance@demo1.mn,2026-02-30,2026-04-25,1200000,Мэдээллийн технологийн зардал,DENY,INVALID_DATE,Cannot parse invoice date: '2026-02-30',PDF,False,2,1200000
invoice_023.png,023,Демо Компани-2,Демо Банк 1,1102003004,billing@demo2.mn,2026-04-10,2026-04-25,300000,Мэдээллийн технологийн зардал,AUTO_POST,,,PNG,False,1,300000
invoice_024.png,024,Демо Компани-4,Демо Банк 2,5007788990,invoicing@demo4.mn,2026-04-10,2026-04-25,75000,Мэдээллийн технологийн зардал,AUTO_POST,,,PNG,False,1,75000
invoice_025.pdf,25,Демо Компани-8,Демо Банк 1,4005544332,billing@demo8.mn,2025-12-09,2025-12-24,450000,"Тээвэр, логистик",DENY,DUPLICATE,"Matches historical invoice ID=432: same vendor, date, total",PDF,False,1,450000
invoice_026.pdf,26,Демо Компани-11,Демо Банк 1,9991112233,info@demo11.mn,2026-04-10,2026-04-25,350000,"Тээвэр, логистик",DENY,UNREGISTERED_VENDOR,Vendor 'Демо Компани-11' not found in master database,PDF,False,1,350000
invoice_027.pdf,27,Демо Компани-5,Демо Банк 2,1009900880,info@demo5.mn,2026-04-10,2026-04-25,200000,Засвар үйлчилгээ,AUTO_POST,,,PDF,False,1,200000
